date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:33	49033/49033	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:43%20GMT	https://demo.egenslab.com/html/corelaw/preview/casestudy-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/casestudy-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:34	45695/45695	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:39%20GMT	https://demo.egenslab.com/html/corelaw/preview/team.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/team.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:35	41497/41497	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:37%20GMT	https://demo.egenslab.com/html/corelaw/preview/lawyer-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/lawyer-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:36	75499/75499	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:34%20GMT	https://demo.egenslab.com/html/corelaw/preview/faq.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/faq.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:37	32132/32132	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:45%20GMT	https://demo.egenslab.com/html/corelaw/preview/error.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/error.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:37	47939/47939	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:42%20GMT	https://demo.egenslab.com/html/corelaw/preview/blog-standard.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/blog-standard.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:39	51283/51283	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:40%20GMT	https://demo.egenslab.com/html/corelaw/preview/blog-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/blog-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:40	44709/44709	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:44%20GMT	https://demo.egenslab.com/html/corelaw/preview/contact.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/contact.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:41	150582/150582	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa13-24c36%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-vector.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-vector.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:41	80136/80136	---M--	200	added ('OK')	image/png	etag:%2262e8fa11-13908%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer1.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer1.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:42	63723/63723	---M--	200	added ('OK')	image/png	etag:%2262e8fa12-f8eb%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer2.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer2.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:43	88553/88553	---M--	200	added ('OK')	image/png	etag:%2262e8fa12-159e9%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer3.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/banner3-lawyer3.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:44	915/915	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa62-393%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/arr-prev.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/arr-prev.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:46	930/930	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa62-3a2%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/arr-next.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/arr-next.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:46	42798/42798	---M--	200	added ('OK')	image/png	etag:%2262e8fa38-a72e%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice31.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice31.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:48	9333/9333	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa7d-2475%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice31.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice31.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:48	47273/47273	---M--	200	added ('OK')	image/png	etag:%2262e8fa38-b8a9%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice32.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice32.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:50	9299/9299	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa7e-2453%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice32.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/practice32.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:50	35783/35783	---M--	200	added ('OK')	image/png	etag:%2262e8fa39-8bc7%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice33.png	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/bg/practice33.png	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
